ID,PDB_ID,Subset,Complex_Type,Resolution,Affinity_Data,pKd_pKi_pIC50,Release_Year,Protein_Name,Pubmed_ID,Pubchem_SID,Reference,UniProt_AC,Formula,Molecular_Weight,Exact_Mass,No._of_atoms,No._of_bonds,Polar_Surface_Area,XLOGP3,open_banel_LogP,HB_donor,HB_acceptor,Rotatable_bonds,SMILES
1,10gs,refined,Protein-Ligand,2.2,Ki=0.4uM,6.4,1998,glutathione s-transferase,9398518,46391374,"J.Mol.Biol. v274 pp. 84-100, 1997",P09211,C23H26N3O6S,474.55,474.17,61,62,185.74,0.82,1.6,3,6,13,O=C(N[C@H](C(=O)N[C@H](c1ccccc1)C(=O)O)CSCc1ccccc1)CC[C@@H](C(=O)O)[NH3+]
2,184l,refined,Protein-Ligand,1.8,Kd=19uM,4.72,1995,Enterobacteria phage T4 LYSOZYME,15916423,0,"(2005) J. Med. Chem., Vol.48, pp.3714-3728",P00720,C10H14,134.218,134.11,24,24,0,3.51,2.89,0,0,2,CC(Cc1ccccc1)C
3,185l,refined,Protein-Ligand,1.8,Kd=290uM,3.54,1995,Enterobacteria phage T4 LYSOZYME,15916423,0,"(2005) J. Med. Chem., Vol.48, pp.3714-3728",P00720,C8H7N,117.148,117.058,16,17,15.79,2.05,2.17,1,0,0,c1ccc2c(c1)[nH]cc2
4,186l,refined,Protein-Ligand,1.8,Kd=14uM,4.85,1995,Enterobacteria phage T4 LYSOZYME,15916423,0,"(2005) J. Med. Chem., Vol.48, pp.3714-3728",P00720,C10H14,134.218,134.11,24,24,0,3.8,3.03,0,0,3,CCCCc1ccccc1
5,187l,refined,Protein-Ligand,1.8,Kd=422uM,3.37,1995,Enterobacteria phage T4 LYSOZYME,15916423,0,"(2005) J. Med. Chem., Vol.48, pp.3714-3728",P00720,C8H10,106.165,106.078,18,18,0,2.65,2.3,0,0,0,Cc1ccc(cc1)C
6,188l,refined,Protein-Ligand,1.8,Kd=470uM,3.33,1995,Enterobacteria phage T4 LYSOZYME,15916423,0,"(2005) J. Med. Chem., Vol.48, pp.3714-3728",P00720,C8H10,106.165,106.078,18,18,0,2.65,2.3,0,0,0,Cc1ccccc1C
7,1a1e,refined,Protein-Ligand,2.2,Kd=1uM,6,1998,tyrosine kinase C-src,9174343,46391385,"Biochemistry v36 pp. 6283-93, 1997",P12931,C25H35N3O9P,556.566,556.242,77,78,199.32,2.64,2.27,2,8,15,CCCC[C@@H]1CCCN(C1)C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)C)CCC(=O)O
8,1a28,refined,Protein-Ligand,1.8,Ki=5.1nM,8.29,1998,ligand-binding domain of the human progesterone receptor,20510622,0,"(2010) Bioorg. Med. Chem., Vol.18, pp.4255-4268",P06401,C21H30O2,314.462,314.225,53,56,34.14,4,4.72,0,2,1,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C
9,1a30,refined,Protein-Ligand,2,Ki=50uM,4.3,1998,HIV-1 protease,9485357,46391387,"Biochemistry v37 pp. 2105-10, 1998",P04585,C15H23N3O8,376.382,376.172,52,51,197.74,0.2,-1.18,3,8,11,CC(C[C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])CC(=O)O)C
10,1a4k,refined,Protein-Ligand,2.4,Kd=0.01uM,8,1998,antibody fab,9506942,46391391,"Science v279 pp. 1929-33, 1998",P01834,C21H22N3O7,429.423,429.154,54,57,142.11,1.26,2.03,2,6,7,OC(=O)COC(=O)N[C@]12CC[C@H](CC1)[C@@H]1[C@H]2C(=O)N(C1=O)c1ccc(cc1)NC(=O)C
11,1a4r,refined,Protein-Ligand,2.5,Kd=0.22uM,6.66,1999,g25k gtp-binding protein,10211824,46391394,"Protein Sci. v8 pp. 778-87, 1999",P60953,C10H14N6O10P2,444.232,444.056,46,48,291.86,-5.89,-2.08,5,8,8,O[C@@H]1[C@@H](COP(OP(O)(O)N)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
12,1a4w,refined,Protein-Ligand,1.8,Ki=1.2uM,5.92,1998,thrombin alpha,8913620,46391395,"Biophys.J. v71 pp. 2830-9, 1996",P09945 P00734,C29H40N7O4S2,614.802,614.258,82,85,202.31,5.04,4,1,5,14,O=C(N1CCCC[C@@H]1CCC(=O)c1nccs1)[C@@H](NS(=O)(=O)c1cccc2c1cccc2N(C)C)CCC[NH+]=C(N)N
13,1a69,refined,Protein-Ligand,2.1,Ki=5uM,5.3,1998,purine nucleoside phosphorylase,9653038,46391401,"J.Mol.Biol. v280 pp. 153-66, 1998",P0ABP8,C10H12N4O5,268.226,268.081,31,33,144.35,-2.47,-2.2,5,5,5,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)c1n[nH]c2c1nc[nH]c2=O
14,1a94,refined,Protein-Ligand,2,Ki=14nM,7.85,1999,HIV-1 protease,9521772,46391409,"Biochemistry v37 pp. 4518-26, 1998",P03367,C40H68N11O9,848.044,847.528,129,129,348.64,1.97,0.59,8,9,33,CCCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])CC(C)C)Cc1ccccc1)CCC(=O)O)C
15,1a99,refined,Protein-Ligand,2.2,Kd=2uM,5.7,1998,putrescine-binding protein,9651355,46391410,"J.Biol.Chem. v273 pp. 17604-9, 1998",P31133,C4H14N2,90.167,90.116,20,19,55.28,-0.94,-1.75,2,0,3,[NH3+]CCCC[NH3+]
16,1a9m,refined,Protein-Ligand,2.3,Ki=119nM,6.92,1998,HIV-1 protease G48H,9450540,46391411,"FEBS Lett. v420 pp. 11-6, 1997",P03366,C28H53N8O6,597.77,597.409,95,95,259.72,1.89,1.31,6,6,23,NC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N)CCC[NH+]=C(N)N)NC(=O)[C@H](C(C)C)C[C@@H]([C@@H](NC(=O)C)CC1CCCCC1)O
17,1a9q,refined,Protein-Ligand,2,Kd=0.68uM,6.17,1998,bovine Purine nucleoside phosphorylase (PNP),23040896,0,"(2012) Bioorg. Med. Chem., Vol.20, pp.6758-6769",P55859,C5H4N4O,136.111,136.039,14,15,74.43,-0.49,-0.35,2,2,0,O=c1[nH]cnc2c1nc[nH]2
18,1aaq,refined,Protein-Ligand,2.5,Ki=4.0nM,8.4,1994,HIV-1 protease,1637805,46391413,"Biochemistry v31 pp. 6646-59, 1992",P03367,C29H48N5O7,578.721,578.355,89,89,190.57,1.79,1.01,6,6,22,COC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC[C@@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)C)Cc1ccccc1)O
19,1add,refined,Protein-Ligand,2.4,Ki=0.18uM,6.74,1994,adenosine deaminase,8439534,46391416,"Biochemistry v32 pp. 1689-94, 1993",P03958,C11H14N4O4,266.253,266.102,33,35,126.65,-1.59,-0.79,4,5,5,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nccc2N
20,1adl,refined,Protein-Ligand,1.6,Kd=4.4uM,5.36,1994,trp rna-binding attenuation protein,7929228,46391417,"J.Biol.Chem. v269 pp. 25339-47, 1994",P04117,C20H31O2,304.467,304.24,54,53,37.3,7.73,6.22,0,2,13,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
21,1ado,refined,Protein-Ligand,1.9,Kd=1uM,6,1997,"fructose 1,6-bisphosphate aldolase",8989320,46391418,"Nat.Struct.Biol. v4 pp. 36-9, 1997",P00883,C3H5O6P,171.066,171.006,18,17,120.81,-2.62,-1.78,1,5,4,OCC(=O)COP(O)(O)O
22,1afk,refined,Protein-Ligand,1.7,Ki=240nM,6.62,1998,ribonuclease a,9154942,46391421,"Biochemistry v36 pp. 5578-88, 1997",P61823,C10H11N5O13P3,510.205,510.019,50,52,329.38,-6.15,-2.36,2,12,7,O[C@@H]1[C@H](OP(O)(O)O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(OP(O)(O)O)(O)O
23,1afl,refined,Protein-Ligand,1.7,Ki=520nM,6.28,1998,ribonuclease a,9154942,46391422,"Biochemistry v36 pp. 5578-88, 1997",P61823,C10H11N5O13P3,510.205,510.019,50,52,329.38,-6.15,-2.36,2,12,7,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1OP(O)(O)O)n1cnc2c1ncnc2N
24,1ai4,refined,Protein-Ligand,2.35,Ki=3.13mM,2.5,1997,penicillin amidohydrolase,9813130,46391429,"J.Mol.Biol. v284 pp. 463-75, 1998",P06875,C8H7O4,168.147,168.042,20,20,77.76,2.12,0.72,2,4,3,OC(=O)Cc1ccc(c(c1)O)O
25,1ai5,refined,Protein-Ligand,2.36,Ki=0.189mM,3.72,1997,penicillin amidohydrolase,9813130,46391430,"J.Mol.Biol. v284 pp. 463-75, 1998",P06875,C8H6NO4,181.145,181.038,20,20,83.12,2.66,1.75,0,4,1,OC(=O)Cc1cccc(c1)N(=O)=O
26,1ai7,refined,Protein-Ligand,2.5,Ki=0.082mM,4.09,1997,penicillin amidohydrolase,9813130,46391432,"J.Mol.Biol. v284 pp. 463-75, 1998",P06875,C6H6O,94.111,94.042,13,13,20.23,1.57,1.39,1,1,1,Oc1ccccc1
27,1aid,refined,Protein-Ligand,2.2,Ki=15uM,4.82,1997,HIV-1 protease,8340363,46391433,"J.Biol.Chem. v268 pp. 15343-6, 1993",P03369,C23H28NOS2FCl,453.056,452.128,57,60,75.27,5.38,6.03,2,1,7,Fc1ccc(cc1)C1(CCC[N@@H+]2CC[C@@](CC2)(O)c2ccc(cc2)Cl)SCCS1
28,1aj7,refined,Protein-Ligand,2.1,Kd=135uM,3.87,1997,immunoglobulin 48g7 germline fab,9180069,46391435,"Science v276 pp. 1665-9, 1997",P01857,C11H12NO7P,304.213,304.059,35,35,146.4,2.15,2.5,0,6,6,OC(=O)CCCCP(Oc1ccc(cc1)N(=O)=O)(O)O
29,1ajn,refined,Protein-Ligand,2.36,Ki=2.32mM,2.63,1997,penicillin amidohydrolase,9813130,46391436,"J.Mol.Biol. v284 pp. 463-75, 1998",P06875,C8H6NO4,181.145,181.038,20,20,83.12,2.66,1.75,0,4,1,OC(=O)Cc1ccc(cc1)N(=O)=O
30,1ajp,refined,Protein-Ligand,2.31,Ki=5.85mM,2.23,1997,penicillin amidohydrolase,9813130,46391437,"J.Mol.Biol. v284 pp. 463-75, 1998",P06875,C8H7O4,168.147,168.042,20,20,77.76,2.12,0.72,2,4,3,OC(=O)Cc1cc(O)ccc1O
